"Read","Total_Sales_Turnover","Total_Export_Turnover","Total_Value_Bad_Debts","Profit_Loss_After_Tax","Bank_name","Bank_Branch_Address","Pincode","Amount_Limit_Sanctioned","Amount_Outstanding","Outstanding_Date","Overdue_Amount","Overdue_Date","NameOfTheInsurance","ValueOfTheExport","BuyerNameOfInsuranceDetails","CreditInformation","NonPayment","StateInfo"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Matheran","412018","90000017","8000941","2021-11-06","90000017","2021-11-06","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Nagaland"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Mumbai","412019","90000018","8000942","2021-11-07","90000018","2021-11-07","TATA AIG ","90000018","TATA AIG ","19","Test19","Odisha"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Nagpur","412020","90000019","8000943","2021-11-08","90000019","2021-11-08","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Punjab"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Nanded","412021","90000020","8000944","2021-11-09","90000020","2021-11-09","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Rajasthan"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Nashik","412022","90000021","8000945","2021-11-10","90000021","2021-11-10","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Sikkim"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Osmanabad","412023","90000022","8000946","2021-11-11","90000022","2021-11-11","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Tamil Nadu"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8000947","2021-11-12","90000023","2021-11-12","Future Generali India ","90000023","Future Generali India ","24","Test24","Telangana"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8000948","2021-11-13","90000024","2021-11-13","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Tripura"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8000949","2021-11-14","90000025","2021-11-14","Shriram General ","90000025","Shriram General ","26","Test26","Uttar Pradesh"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8000950","2021-10-21","90000026","2021-10-21","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Uttarakhand"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8000951","2021-10-22","90000027","2021-10-22","Raheja QBE ","90000027","Raheja QBE ","28","Test28","West Bengal"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8000952","2021-10-23","90000028","2021-10-23","SBI General ","90000028","SBI General ","29","Test29","Andhra Pradesh"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8000953","2021-10-24","90000029","2021-10-24","L  T General ","90000029","Reliance General  ","30","Test30","Arunachal Pradesh"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8000954","2021-10-25","90000030","2021-10-25","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Assam"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Thane","412032","90000031","8000955","2021-10-26","90000031","2021-10-26","Reliance General  ","90000031","Reliance General  ","32","Test32","Bihar"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Ulhasnagar","412033","90000032","8000956","2021-10-27","90000032","2021-10-27","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Chhattisgarh"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Vasai Virar","412034","90000033","8000957","2021-10-28","90000033","2021-10-28","TATA AIG ","90000033","TATA AIG ","34","Test34","Goa"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Wardha","412035","90000034","8000958","2021-10-29","90000034","2021-10-29","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Gujarat"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Yavatmal","412036","90000035","8000959","2021-10-30","90000035","2021-10-30","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Haryana"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Osmanabad","412037","90000036","8000960","2021-10-31","90000036","2021-10-31","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Himachal Pradesh"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Pandharpur","412038","90000037","8000961","2021-11-01","90000037","2021-11-01","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Jharkhand"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Parbhani","412039","90000038","8000962","2021-11-02","90000038","2021-11-02","Future Generali India ","90000038","Future Generali India ","39","Test39","Karnataka"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Pune","412040","90000039","8000963","2021-11-03","90000039","2021-11-03","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Kerala"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Ratnagiri","412041","90000040","8000964","2021-11-04","90000040","2021-11-04","Shriram General ","90000040","Shriram General ","41","Test41","Madhya Pradesh"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Sangli","412042","90000041","8000965","2021-11-05","90000041","2021-11-05","Bharti AXA General","90000041","Bharti AXA General","42","Test42","Maharashtra"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Satara","412001","90000000","8000966","2021-11-06","90000000","2021-11-06","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Manipur"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Sevagram","412002","90000001","8000967","2021-11-07","90000001","2021-11-07","Reliance General  ","90000001","Reliance General  ","2","Test2","Meghalaya"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Solapur","412003","90000002","8000968","2021-11-08","90000002","2021-11-08","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Mizoram"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Thane","412004","90000003","8000969","2021-11-09","90000003","2021-11-09","TATA AIG ","90000003","TATA AIG ","4","Test4","Nagaland"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Ulhasnagar","412005","90000004","8000970","2021-11-10","90000004","2021-11-10","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Odisha"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Vasai Virar","412006","90000005","8000971","2021-11-11","90000005","2021-11-11","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Punjab"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Wardha","412007","90000006","8000972","2021-11-12","90000006","2021-11-12","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Rajasthan"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Sangli","412008","90000007","8000973","2021-11-13","90000007","2021-11-13","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Sikkim"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Satara","412009","90000008","8000974","2021-11-14","90000008","2021-11-14","Future Generali India ","90000008","Future Generali India ","9","Test9","Tamil Nadu"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Sevagram","412010","90000009","8000975","2021-10-21","90000009","2021-10-21","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Telangana"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Solapur","412011","90000010","8000976","2021-10-22","90000010","2021-10-22","Shriram General ","90000010","Shriram General ","11","Test11","Tripura"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Thane","412012","90000011","8000977","2021-10-23","90000011","2021-10-23","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Uttar Pradesh"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Ulhasnagar","412013","90000012","8000978","2021-10-24","90000012","2021-10-24","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Uttarakhand"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Vasai Virar","412014","90000013","8000979","2021-10-25","90000013","2021-10-25","SBI General ","90000013","SBI General ","14","Test14","West Bengal"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Wardha","412015","90000014","8000980","2021-10-26","90000014","2021-10-26","L  T General ","90000014","Reliance General  ","15","Test15","Andhra Pradesh"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Yavatmal","412016","90000015","8000981","2021-10-27","90000015","2021-10-27","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Arunachal Pradesh"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Amravati","412017","90000016","8000982","2021-10-28","90000016","2021-10-28","Reliance General  ","90000016","Reliance General  ","17","Test17","Assam"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Aurangabad","412018","90000017","8000983","2021-10-29","90000017","2021-10-29","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Bihar"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Bhandara","412019","90000018","8000984","2021-10-30","90000018","2021-10-30","TATA AIG ","90000018","TATA AIG ","19","Test19","Chhattisgarh"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Bhusawal","412020","90000019","8000985","2021-10-31","90000019","2021-10-31","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Goa"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Bid","412021","90000020","8000986","2021-11-01","90000020","2021-11-01","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Gujarat"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Buldhana","412022","90000021","8000987","2021-11-02","90000021","2021-11-02","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Haryana"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Chandrapur","412023","90000022","8000988","2021-11-03","90000022","2021-11-03","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Himachal Pradesh"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Daulatabad","412024","90000023","8000989","2021-11-04","90000023","2021-11-04","Future Generali India ","90000023","Future Generali India ","24","Test24","Jharkhand"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Dhule","412025","90000024","8000990","2021-11-05","90000024","2021-11-05","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Karnataka"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Jalgaon","412026","90000025","8000991","2021-11-06","90000025","2021-11-06","Shriram General ","90000025","Shriram General ","26","Test26","Kerala"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Kalyan","412027","90000026","8000992","2021-11-07","90000026","2021-11-07","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Madhya Pradesh"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Karli","412028","90000027","8000993","2021-11-08","90000027","2021-11-08","Raheja QBE ","90000027","Raheja QBE ","28","Test28","Maharashtra"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Kolhapur","412029","90000028","8000994","2021-11-09","90000028","2021-11-09","SBI General ","90000028","SBI General ","29","Test29","Manipur"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Mahabaleshwar","412030","90000029","8000995","2021-11-10","90000029","2021-11-10","L  T General ","90000029","Reliance General  ","30","Test30","Meghalaya"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Malegaon","412031","90000030","8000996","2021-11-11","90000030","2021-11-11","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Mizoram"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Matheran","412032","90000031","8000997","2021-11-12","90000031","2021-11-12","Reliance General  ","90000031","Reliance General  ","32","Test32","Nagaland"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Mumbai","412033","90000032","8000998","2021-11-13","90000032","2021-11-13","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Odisha"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Nagpur","412034","90000033","8000999","2021-11-14","90000033","2021-11-14","TATA AIG ","90000033","TATA AIG ","34","Test34","Punjab"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Nanded","412035","90000034","8001000","2021-10-21","90000034","2021-10-21","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Rajasthan"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Nashik","412036","90000035","8001001","2021-10-22","90000035","2021-10-22","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Sikkim"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Osmanabad","412037","90000036","8001002","2021-10-23","90000036","2021-10-23","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Tamil Nadu"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Pandharpur","412038","90000037","8001003","2021-10-24","90000037","2021-10-24","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Telangana"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Parbhani","412039","90000038","8001004","2021-10-25","90000038","2021-10-25","Future Generali India ","90000038","Future Generali India ","39","Test39","Tripura"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Pune","412040","90000039","8001005","2021-10-26","90000039","2021-10-26","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Uttar Pradesh"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Ratnagiri","412041","90000040","8001006","2021-10-27","90000040","2021-10-27","Shriram General ","90000040","Shriram General ","41","Test41","Uttarakhand"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Sangli","412042","90000041","8001007","2021-10-28","90000041","2021-10-28","Bharti AXA General","90000041","Bharti AXA General","42","Test42","West Bengal"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Satara","412001","90000000","8001008","2021-10-29","90000000","2021-10-29","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Andhra Pradesh"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Sevagram","412002","90000001","8001009","2021-10-30","90000001","2021-10-30","Reliance General  ","90000001","Reliance General  ","2","Test2","Arunachal Pradesh"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Solapur","412003","90000002","8001010","2021-10-31","90000002","2021-10-31","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Assam"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Thane","412004","90000003","8001011","2021-11-01","90000003","2021-11-01","TATA AIG ","90000003","TATA AIG ","4","Test4","Bihar"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Ulhasnagar","412005","90000004","8001012","2021-11-02","90000004","2021-11-02","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Chhattisgarh"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Vasai Virar","412006","90000005","8001013","2021-11-03","90000005","2021-11-03","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Goa"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Wardha","412007","90000006","8001014","2021-11-04","90000006","2021-11-04","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Gujarat"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Yavatmal","412008","90000007","8001015","2021-11-05","90000007","2021-11-05","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Haryana"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Chandrapur","412009","90000008","8001016","2021-11-06","90000008","2021-11-06","Future Generali India ","90000008","Future Generali India ","9","Test9","Himachal Pradesh"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Daulatabad","412010","90000009","8001017","2021-11-07","90000009","2021-11-07","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Jharkhand"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Dhule","412011","90000010","8001018","2021-11-08","90000010","2021-11-08","Shriram General ","90000010","Shriram General ","11","Test11","Karnataka"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Jalgaon","412012","90000011","8001019","2021-11-09","90000011","2021-11-09","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Kerala"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Kalyan","412013","90000012","8001020","2021-11-10","90000012","2021-11-10","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Madhya Pradesh"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Karli","412014","90000013","8001021","2021-11-11","90000013","2021-11-11","SBI General ","90000013","SBI General ","14","Test14","Maharashtra"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Kolhapur","412015","90000014","8001022","2021-11-12","90000014","2021-11-12","L  T General ","90000014","Reliance General  ","15","Test15","Manipur"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Mahabaleshwar","412016","90000015","8001023","2021-11-13","90000015","2021-11-13","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Meghalaya"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Malegaon","412017","90000016","8001024","2021-11-14","90000016","2021-11-14","Reliance General  ","90000016","Reliance General  ","17","Test17","Mizoram"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Matheran","412018","90000017","8001025","2021-10-21","90000017","2021-10-21","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Nagaland"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Mumbai","412019","90000018","8001026","2021-10-22","90000018","2021-10-22","TATA AIG ","90000018","TATA AIG ","19","Test19","Odisha"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Nagpur","412020","90000019","8001027","2021-10-23","90000019","2021-10-23","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Punjab"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Nanded","412021","90000020","8001028","2021-10-24","90000020","2021-10-24","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Rajasthan"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Nashik","412022","90000021","8001029","2021-10-25","90000021","2021-10-25","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Sikkim"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Osmanabad","412023","90000022","8001030","2021-10-26","90000022","2021-10-26","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Tamil Nadu"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Pandharpur","412024","90000023","8001031","2021-10-27","90000023","2021-10-27","Future Generali India ","90000023","Future Generali India ","24","Test24","Telangana"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Parbhani","412025","90000024","8001032","2021-10-28","90000024","2021-10-28","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Tripura"
"Yes","90000025","80000025","80000025","90000025","Kotak Bank","Pune","412026","90000025","8001033","2021-10-29","90000025","2021-10-29","Shriram General ","90000025","Shriram General ","26","Test26","Uttar Pradesh"
"Yes","90000026","80000026","80000026","90000026","Laxmi Vilas Bank","Ratnagiri","412027","90000026","8001034","2021-10-30","90000026","2021-10-30","Bharti AXA General","90000026","Bharti AXA General","27","Test27","Uttarakhand"
"Yes","90000027","80000027","80000027","90000027","Oriental Bank of Commerce","Sangli","412028","90000027","8001035","2021-10-31","90000027","2021-10-31","Raheja QBE ","90000027","Raheja QBE ","28","Test28","West Bengal"
"Yes","90000028","80000028","80000028","90000028","Punjab National Bank  Corporate Banking","Satara","412029","90000028","8001036","2021-11-01","90000028","2021-11-01","SBI General ","90000028","SBI General ","29","Test29","Andhra Pradesh"
"Yes","90000029","80000029","80000029","90000029","Punjab National Bank  Retail Banking","Sevagram","412030","90000029","8001037","2021-11-02","90000029","2021-11-02","L  T General ","90000029","Reliance General  ","30","Test30","Arunachal Pradesh"
"Yes","90000030","80000030","80000030","90000030","Punjab Sind Bank","Solapur","412031","90000030","8001038","2021-11-03","90000030","2021-11-03","Royal Sundaram  ","90000030","Royal Sundaram  ","31","Test31","Assam"
"Yes","90000031","80000031","80000031","90000031","Shamrao Vitthal Cooperative Bank","Thane","412032","90000031","8001039","2021-11-04","90000031","2021-11-04","Reliance General  ","90000031","Reliance General  ","32","Test32","Bihar"
"Yes","90000032","80000032","80000032","90000032","South Indian Bank","Ulhasnagar","412033","90000032","8001040","2021-11-05","90000032","2021-11-05","IFFCO TOKIO ","90000032","Reliance General  ","33","Test33","Chhattisgarh"
"Yes","90000033","80000033","80000033","90000033","State Bank of Bikaner Jaipur","Vasai Virar","412034","90000033","8001041","2021-11-06","90000033","2021-11-06","TATA AIG ","90000033","TATA AIG ","34","Test34","Goa"
"Yes","90000034","80000034","80000034","90000034","State Bank of Hyderabad","Wardha","412035","90000034","8001042","2021-11-07","90000034","2021-11-07","Bajaj Allianz ","90000034","Bajaj Allianz ","35","Test35","Gujarat"
"Yes","90000035","80000035","80000035","90000035","State Bank of India","Osmanabad","412036","90000035","8001043","2021-11-08","90000035","2021-11-08","Cholamandalam MS ","90000035","Cholamandalam MS ","36","Test36","Haryana"
"Yes","90000036","80000036","80000036","90000036","State Bank of Mysore","Pandharpur","412037","90000036","8001044","2021-11-09","90000036","2021-11-09","ICICI Lombard ","90000036","ICICI Lombard ","37","Test37","Himachal Pradesh"
"Yes","90000037","80000037","80000037","90000037","State Bank of Patiala","Parbhani","412038","90000037","8001045","2021-11-10","90000037","2021-11-10","HDFC ERGO ","90000037","HDFC ERGO ","38","Test38","Jharkhand"
"Yes","90000038","80000038","80000038","90000038","State Bank of Travancore","Pune","412039","90000038","8001046","2021-11-11","90000038","2021-11-11","Future Generali India ","90000038","Future Generali India ","39","Test39","Karnataka"
"Yes","90000039","80000039","80000039","90000039","Syndicate Bank","Ratnagiri","412040","90000039","8001047","2021-11-12","90000039","2021-11-12","Universal Sompo ","90000039","Universal Sompo ","40","Test40","Kerala"
"Yes","90000040","80000040","80000040","90000040","Tamilnad Mercantile Bank Ltd","Sangli","412041","90000040","8001048","2021-11-13","90000040","2021-11-13","Shriram General ","90000040","Shriram General ","41","Test41","Madhya Pradesh"
"Yes","90000041","80000041","80000041","90000041","UCO Bank","Satara","412042","90000041","8001049","2021-11-14","90000041","2021-11-14","Bharti AXA General","90000041","Bharti AXA General","42","Test42","Maharashtra"
"Yes","90000000","80000000","80000000","90000000","Allahabad Bank","Sevagram","412001","90000000","8001050","2021-10-21","90000000","2021-10-21","Royal Sundaram  ","90000000","Royal Sundaram  ","1","Test1","Manipur"
"Yes","90000001","80000001","80000001","90000001","Andhra Bank","Solapur","412002","90000001","8001051","2021-10-22","90000001","2021-10-22","Reliance General  ","90000001","Reliance General  ","2","Test2","Meghalaya"
"Yes","90000002","80000002","80000002","90000002","Axis Bank","Thane","412003","90000002","8001052","2021-10-23","90000002","2021-10-23","IFFCO TOKIO ","90000002","TATA AIG ","3","Test3","Mizoram"
"Yes","90000003","80000003","80000003","90000003","Bank of Bahrain and Kuwait","Ulhasnagar","412004","90000003","8001053","2021-10-24","90000003","2021-10-24","TATA AIG ","90000003","TATA AIG ","4","Test4","Nagaland"
"Yes","90000004","80000004","80000004","90000004","Bank of Baroda","Vasai Virar","412005","90000004","8001054","2021-10-25","90000004","2021-10-25","Bajaj Allianz ","90000004","Bajaj Allianz ","5","Test5","Odisha"
"Yes","90000005","80000005","80000005","90000005","Bank of Baroda  Retail Banking","Wardha","412006","90000005","8001055","2021-10-26","90000005","2021-10-26","Cholamandalam MS ","90000005","Cholamandalam MS ","6","Test6","Punjab"
"Yes","90000006","80000006","80000006","90000006","Bank of India","Sangli","412007","90000006","8001056","2021-10-27","90000006","2021-10-27","ICICI Lombard ","90000006","ICICI Lombard ","7","Test7","Rajasthan"
"Yes","90000007","80000007","80000007","90000007","Bank of Maharashtra","Satara","412008","90000007","8001057","2021-10-28","90000007","2021-10-28","HDFC ERGO ","90000007","HDFC ERGO ","8","Test8","Sikkim"
"Yes","90000008","80000008","80000008","90000008","Canara Bank","Sevagram","412009","90000008","8001058","2021-10-29","90000008","2021-10-29","Future Generali India ","90000008","Future Generali India ","9","Test9","Tamil Nadu"
"Yes","90000009","80000009","80000009","90000009","Central Bank of India","Solapur","412010","90000009","8001059","2021-10-30","90000009","2021-10-30","Universal Sompo ","90000009","Universal Sompo ","10","Test10","Telangana"
"Yes","90000010","80000010","80000010","90000010","City Union Bank","Thane","412011","90000010","8001060","2021-10-31","90000010","2021-10-31","Shriram General ","90000010","Shriram General ","11","Test11","Tripura"
"Yes","90000011","80000011","80000011","90000011","Corporation Bank","Ulhasnagar","412012","90000011","8001061","2021-11-01","90000011","2021-11-01","Bharti AXA General","90000011","Bharti AXA General","12","Test12","Uttar Pradesh"
"Yes","90000012","80000012","80000012","90000012","Deutsche Bank","Vasai Virar","412013","90000012","8001062","2021-11-02","90000012","2021-11-02","Raheja QBE ","90000012","Raheja QBE ","13","Test13","Uttarakhand"
"Yes","90000013","80000013","80000013","90000013","Development Credit Bank","Wardha","412014","90000013","8001063","2021-11-03","90000013","2021-11-03","SBI General ","90000013","SBI General ","14","Test14","West Bengal"
"Yes","90000014","80000014","80000014","90000014","Dhanlaxmi Bank","Yavatmal","412015","90000014","8001064","2021-11-04","90000014","2021-11-04","L  T General ","90000014","Reliance General  ","15","Test15","Andhra Pradesh"
"Yes","90000015","80000015","80000015","90000015","Federal Bank","Amravati","412016","90000015","8001065","2021-11-05","90000015","2021-11-05","Royal Sundaram  ","90000015","Royal Sundaram  ","16","Test16","Arunachal Pradesh"
"Yes","90000016","80000016","80000016","90000016","ICICI Bank","Aurangabad","412017","90000016","8001066","2021-11-06","90000016","2021-11-06","Reliance General  ","90000016","Reliance General  ","17","Test17","Assam"
"Yes","90000017","80000017","80000017","90000017","IDBI Bank","Bhandara","412018","90000017","8001067","2021-11-07","90000017","2021-11-07","IFFCO TOKIO ","90000017","Reliance General  ","18","Test18","Bihar"
"Yes","90000018","80000018","80000018","90000018","Indian Bank","Bhusawal","412019","90000018","8001068","2021-11-08","90000018","2021-11-08","TATA AIG ","90000018","TATA AIG ","19","Test19","Chhattisgarh"
"Yes","90000019","80000019","80000019","90000019","Indian Overseas Bank","Bid","412020","90000019","8001069","2021-11-09","90000019","2021-11-09","Bajaj Allianz ","90000019","Bajaj Allianz ","20","Test20","Goa"
"Yes","90000020","80000020","80000020","90000020","IndusInd Bank","Buldhana","412021","90000020","8001070","2021-11-10","90000020","2021-11-10","Cholamandalam MS ","90000020","Cholamandalam MS ","21","Test21","Gujarat"
"Yes","90000021","80000021","80000021","90000021","ING Vysya Bank","Chandrapur","412022","90000021","8001071","2021-11-11","90000021","2021-11-11","ICICI Lombard ","90000021","ICICI Lombard ","22","Test22","Haryana"
"Yes","90000022","80000022","80000022","90000022","Jammu and Kashmir Bank","Daulatabad","412023","90000022","8001072","2021-11-12","90000022","2021-11-12","HDFC ERGO ","90000022","HDFC ERGO ","23","Test23","Himachal Pradesh"
"Yes","90000023","80000023","80000023","90000023","Karnataka Bank Ltd","Dhule","412024","90000023","8001073","2021-11-13","90000023","2021-11-13","Future Generali India ","90000023","Future Generali India ","24","Test24","Jharkhand"
"Yes","90000024","80000024","80000024","90000024","Karur Vysya Bank","Jalgaon","412025","90000024","8001074","2021-11-14","90000024","2021-11-14","Universal Sompo ","90000024","Universal Sompo ","25","Test25","Karnataka"
